"MunicipalityName","FIPS_ID","Year","Population"
"Westminster",83835,1981,53228
"Wheat Ridge",84440,1981,30861
"Wiggins",84770,1981,530
"Wiley",85045,1981,411
"Williamsburg",85155,1981,76
"Windsor",85485,1981,4422
"Winter Park",85705,1981,515
"Woodland Park",86090,1981,2787
"Wray",86310,1981,2191
"Yampa",86475,1981,448
"Yuma",86750,1981,2863
"Aguilar",760,1982,637
"Akron",925,1982,1825
"Alamosa",1090,1982,7000
"Alma",1530,1982,148
"Antonito",2355,1982,1051
"Arriba",3235,1982,248
"Arvada",3455,1982,88864
"Aspen",3620,1982,3348
"Ault",3950,1982,978
"Aurora",4000,1982,183179
"Avon",4110,1982,866
"Basalt",4935,1982,603
"Bayfield",5265,1982,834
"Bennett",6090,1982,1231
"Berthoud",6255,1982,2500
"Bethune",6530,1982,139
"Black Hawk",7025,1982,270
"Blanca",7190,1982,273
"Blue River",7410,1982,274
"Bonanza City",7571,1982,10
"Boone",7795,1982,411
"Boulder",7850,1982,78329
"Bow Mar",8070,1982,943
"Branson",8345,1982,79
"Breckenridge",8400,1982,927
"Brighton",8675,1982,13617
"Brookside",9115,1982,185
"Broomfield",9280,1982,21998
"Brush",9555,1982,4196
"Buena Vista",10105,1982,2103
"Burlington",10600,1982,3179
"Calhan",11260,1982,623
"Campo",11645,1982,182
"Canon City",11810,1982,13422
"Carbondale",12045,1982,2480
"Castle Rock",12415,1982,4348
"Cedaredge",12635,1982,1237
"Center",12855,1982,1735
"Central City",12910,1982,371
"Cheraw",13460,1982,255
"Cherry Hills Village",13845,1982,5003
"Cheyenne Wells",14175,1982,997
"Coal Creek",15330,1982,173
"Cokedale",15550,1982,90
"Collbran",15605,1982,326
"Colorado Springs",16000,1982,231872
"Columbine Valley",16385,1982,936
"Commerce City",16495,1982,16481
"Cortez",17375,1982,7710
"Craig",17760,1982,10299
"Crawford",17925,1982,248
"Creede",14765,1982,629
"Crested Butte",18310,1982,955
"Crestone",18420,1982,56
"Cripple Creek",18530,1982,707
"Crook",18640,1982,161
"Crowley",18750,1982,196
"Dacono",19080,1982,2602
"De Beque",19355,1982,337
"Deer Trail",19630,1982,457
"Del Norte",19795,1982,1782
"Delta",19850,1982,4332
"Denver",20000,1982,498377
"Dillon",20440,1982,401
"Dinosaur",20495,1982,378
"Dolores",20770,1982,952
"Dove Creek",21265,1982,808
"Durango",22035,1982,12325
"Eads",22145,1982,870
"Eagle",22200,1982,1113
"Eaton",22860,1982,1969
"Eckley",23025,1982,254
"Edgewater",23135,1982,5047
"Elizabeth",23740,1982,844
"Empire",24620,1982,434
"Englewood",24785,1982,31079
"Erie",24950,1982,1273
"Estes Park",25115,1982,2910
"Evans",25280,1982,5152
"Fairplay",25610,1982,499
"Federal Heights",26270,1982,8149
"Firestone",26600,1982,1300
"Flagler",26765,1982,565
