OBJECTID,WDID,DITCH_NAME,ACREAGE,COMMENT,SHAPE_Length,SHAPE_Area
313,0200837,Plum Ditch,1287.693337,,19166.1723835317,5211130.922255
314,6400501,Carlson Ditch,135.70365786,,4012.19407959773,549175.405787623
315,6400530,Springdale Ditch,5240.96921228,,44383.559195855,21209534.6975873
316,0305381,Warren Lake Reservoir,3785.51601187,,20473.7568926097,15319501.0666753
317,0301142,Mail Creek Ditch,2927.39622158,,18694.4563028387,11846799.5612011
318,0300918,Arthur Ditch,5315.9008566,,32907.4134780839,21512773.5533499
319,0301029,Taylor & Gill Ditch,702.27078806,,10278.9078787521,2842000.41405197
320,0300914,Larimer County Canal No. 2 Irrigating,4847.60004589,,47151.8455013292,19617619.8704133
321,0300913,New Mercer Ditch,127.55728845,,7608.14338168358,516208.059637759
322,0300912,Jackson Ditch,4124.76860612,,33988.3290759528,16692413.0508615
323,0300937,Ogilvy Irrigation,4108.40141435,,42333.3566511094,16626177.1303301
324,0200824,Farmers Independent Ditch,8582.93920088,,59448.0886660073,34734061.6590532
325,0200822,Meadow Island No.2 / Beeman Ditch,5031.97254421,,33835.7744877628,20363751.8299422
326,6400509,Tamarack Ditch,551.29156146,,10292.174689876,2231006.76762834
327,0700597,Kershaw Ditch,229.57367776,,3983.67940052183,929055.375934874
328,0700540,Church Ditch Company,5543.3554227,,70734.6399444092,22433253.0614725
