"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment","Pop2006","Pop2016","Percent_Change"
"Log Lane Village",45695,"G",2412910,"G",44009,"G","LogLaneVlg","G","CO0144015","G",NA,"x","Morgan",1,"South Platte",1,40.270438,-103.829708,NA,"","N","",913,864,-5.4
"Lone Tree",45955,"G",2410864,"G",18104,"G","LoneTree","G","","M",NA,"x","Douglas",1,"Metro",1,39.530806,-104.87098,NA,"http://www.cityoflonetree.com/","G","New BNDSS ID; did not have an ID in original BNDSS",9414,13226,40.5
"Longmont",45970,"G",2410869,"G",64205,"G","Longmont","G","CO0107485","G",NA,"x","Boulder, Weld",2,"South Platte",1,40.169066,-105.099499,NA,"https://www.longmontcolorado.gov/","G","",82546,93296,13
"Louisville",46355,"G",2410884,"G",7029,"G","Louisville","G","CO0107487","G",NA,"x","Boulder",1,"South Platte",1,39.970949,-105.14402,NA,"http://www.louisvilleco.gov/","G","",18070,20643,14.2
"Loveland",46465,"G",2410886,"G",35026,"G","Loveland","G","CO0135485","G",NA,"x","Larimer",1,"South Platte",1,40.416724,-105.062065,NA,"http://www.cityofloveland.org/","G","",61286,75988,24
"Lyons",47070,"G",2412930,"G",7032,"G","Lyons","G","CO0107496","G",NA,"x","Boulder",1,"South Platte",1,40.222857,-105.268858,NA,"http://www.townoflyons.com/","G","",1774,1923,8.4
"Mead",49600,"G",2412970,"G",62040,"G","Mead","G","CO0162500","G",NA,"x","Weld",1,"South Platte",1,40.232164,-104.992771,NA,"http://www.townofmead.org/","G","New BNDSS ID; did not have an ID in original BNDSS",2786,4473,60.6
"Merino",50040,"G",2412985,"G",38011,"G","Merino","G","CO0138025","G",NA,"x","Logan",1,"South Platte",1,40.483696,-103.353644,NA,"http://town.merino.co.us/","G","New BNDSS ID; did not have an ID in original BNDSS",299,280,-6.4
"Milliken",50480,"G",2413000,"G",62043,"G","Milliken","G","CO0162511","G",NA,"x","Weld",1,"South Platte",1,40.310302,-104.85572,NA,"http://www.millikenco.gov/","G","",5336,6672,25
"Morrison",52075,"G",2413014,"G",30065,"G","Morrison","G","CO0130085","G",NA,"x","Jefferson",1,"Metro",1,39.642922,-105.193672,NA,"http://town.morrison.co.us/","G","",429,438,2.1
"Mountain View",52350,"G",2413021,"G",30067,"G","MtnView","G","CO0130518","G",NA,"x","Jefferson",1,"Metro",1,39.774769,-105.056773,NA,"http://www.townofmountainviewcolorado.org/","G","",513,535,4.3
"Nederland",53175,"G",2413037,"G",7033,"G","Nederland","G","CO0107538","G",NA,"x","Boulder",1,"South Platte",1,39.96328,-105.507173,NA,"http://nederlandco.org/","G","New BNDSS ID; did not have an ID in original BNDSS",1421,1524,7.2
"Northglenn",54330,"G",2411280,"G",64198,"G","Northglenn","G","CO0101115","G",NA,"x","Adams, Weld",2,"Metro, South Platte",2,39.91065,-104.978275,NA,"http://www.northglenn.org/","G","",34605,38905,12.4
"Nunn",55045,"G",2413059,"G",62045,"G","Nunn","G","CO0162559","G",NA,"x","Weld",1,"South Platte",1,40.713256,-104.788313,NA,"http://www.nunncolorado.com/","G","New BNDSS ID; did not have an ID in original BNDSS",438,449,2.5
"Otis",56365,"G",2413094,"G",61006,"G","Otis","G","CO0161010","G",NA,"x","Washington",1,"South Platte",1,40.150129,-102.962139,NA,"https://www.colorado.gov/pacific/townofotis","G","",502,481,-4.2
"Ovid",56475,"G",2413096,"G",58007,"G","Ovid","G","CO0158005","G",NA,"x","Sedgwick",1,"South Platte",1,40.960818,-102.388343,NA,"http://www.ovidcolorado.com/","G","",341,321,-5.9
"Paoli",57245,"G",2413107,"G",48006,"G","Paoli","G","CO0148010","G",NA,"x","Phillips",1,"South Platte",1,40.612758,-102.471769,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",36,33,-8.3
"Parker",57630,"G",2413117,"G",18028,"G","Parker","G","","M",NA,"x","Douglas",1,"Metro",1,39.508029,-104.775085,NA,"http://www.parkeronline.org/","G","New BNDSS ID; did not have an ID in original BNDSS",41071,52105,26.9
"Peetz",58235,"G",2413123,"G",38016,"G","Peetz","G","CO0138030","G",NA,"x","Logan",1,"South Platte",1,40.961878,-103.113943,NA,"https://www.sites.google.com/site/townofpeetz/","G","",226,235,4
"Pierce",59005,"G",2413129,"G",62046,"G","Pierce","G","CO0162610","G",NA,"x","Weld",1,"South Platte",1,40.633499,-104.75518,NA,"http://www.townofpierce.org/","G","New BNDSS ID; did not have an ID in original BNDSS",826,887,7.4
"Platteville",60160,"G",2412489,"G",62050,"G","Platteville","G","CO0162615","G",NA,"x","Weld",1,"South Platte",1,40.221992,-104.833607,NA,"http://www.plattevillegov.org/","G","",2422,2779,14.7
"Raymer",63045,"G",2412533,"G",62051,"G","Raymer","G","CO0162666","G",NA,"x","Weld",1,"South Platte",1,40.607949,-103.843597,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",95,105,10.5
"Sedgwick",68930,"G",2413269,"G",58012,"G","Sedgwick","G","CO0158010","G",NA,"x","Sedgwick",1,"South Platte",1,40.935755,-102.526071,NA,"https://www.sedgwickcolorado.com/","G","New BNDSS ID; did not have an ID in original BNDSS",161,148,-8.1
"Seibert",69040,"G",2413270,"G",32015,"G","Seibert","G","CO0132015","G",NA,"x","Kit Carson",1,"South Platte",1,39.297967,-102.869524,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",168,218,29.8
"Severance",69150,"G",2413272,"G",62053,"G","Severance","G","CO0162707","G",NA,"x","Weld",1,"South Platte",1,40.527285,-104.865735,NA,"http://www.townofseverance.org/","G","",2582,4075,57.8
"Sheridan",69645,"G",2411885,"G",3065,"G","Sheridan","G","CO0103709","G",NA,"x","Arapahoe",1,"Metro",1,39.646775,-105.018176,NA,"http://www.ci.sheridan.co.us/","G","",5526,8216,48.7
"Silver Plume",70360,"G",2413287,"G",10009,"G","SilverPlume","G","CO0110035","G",NA,"x","Clear Creek",1,"South Platte",1,39.695698,-105.726456,NA,"http://www.townofsilverplume.org/","G","New BNDSS ID; did not have an ID in original BNDSS",184,176,-4.3
"Sterling",73935,"G",2411978,"G",38019,"G","Sterling","G","CO0138045","G",NA,"x","Logan",1,"South Platte",1,40.624426,-103.199017,NA,"http://www.sterlingcolo.com/","G","",13770,14101,2.4
"Stratton",74485,"G",2413341,"G",32020,"G","Stratton","G","CO0132020","G",NA,"x","Kit Carson",1,"South Platte",1,39.302883,-102.603473,NA,"http://www.strattoncolorado.com/","G","New BNDSS ID; did not have an ID in original BNDSS",629,650,3.3
"Superior",75640,"G",2413354,"G",64183,"G","Superior","G","","M",NA,"x","Boulder, Jefferson",2,"South Platte",1,39.93359,-105.159291,NA,"http://superiorcolorado.gov/","G","",11407,13185,15.6
"Thornton",77290,"G",2412064,"G",64264,"G","Thornton","G","CO0101150","G",NA,"x","Adams, Weld",2,"Metro",1,39.920507,-104.944528,NA,"https://www.cityofthornton.net/Pages/default.aspx","G","",107586,134845,25.3
"Timnath",77510,"G",2413391,"G",35044,"G","Timnath","G","CO0055699","G",NA,"x","Larimer",1,"South Platte",1,40.533374,-104.960485,NA,"http://www.timnath.org/","G","New BNDSS ID; did not have an ID in original BNDSS",268,2907,984.7
"Vona",81690,"G",2413437,"G",32023,"G","Vona","G","CO0132025","G",NA,"x","Kit Carson",1,"South Platte",1,39.302119,-102.743352,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",95,105,10.5
"Ward",82735,"G",2413449,"G",7042,"G","Ward","G","CO0107834","G",NA,"x","Boulder",1,"South Platte",1,40.072166,-105.513883,NA,"http://www.ward-co.org/","G","New BNDSS ID; did not have an ID in original BNDSS",156,156,0
"Wellington",83230,"G",2413464,"G",35047,"G","Wellington","G","CO0135838","G",NA,"x","Larimer",1,"South Platte",1,40.698698,-105.005937,NA,"http://www.townofwellington.com/","G","",5526,8360,51.3
"Westminster",83835,"G",2412237,"G",64153,"G","Westminster","G","CO0101170","G",NA,"x","Adams, Jefferson",2,"Metro",1,39.88367,-105.062408,NA,"https://www.cityofwestminster.us/","G","",102850,113181,10
"Wheat Ridge",84440,"G",2412248,"G",30093,"G","WheatRidge","G","","M",NA,"x","Jefferson",1,"Metro",1,39.77275,-105.102943,NA,"http://www.ci.wheatridge.co.us/","G","New BNDSS ID; did not have an ID in original BNDSS",30614,31448,2.7
"Wiggins",84770,"G",2413486,"G",44016,"G","Wiggins","G","CO0144035","G",NA,"x","Morgan",1,"South Platte",1,40.228749,-104.072135,NA,"http://www.wigginsco.com/","G","New BNDSS ID; did not have an ID in original BNDSS",903,888,-1.7
"Windsor",85485,"G",2413496,"G",64225,"G","Windsor","G","CO0162843","G",NA,"x","Larimer, Weld",2,"South Platte",1,40.467906,-104.921328,NA,"http://www.windsorgov.com/","G","",15313,24572,60.5
"Woodland Park",86090,"G",2412303,"G",60015,"G","WoodlandPark","G","CO0160900","G",NA,"x","Teller",1,"Arkansas, Metro",2,38.998484,-105.059397,NA,"http://www.city-woodlandpark.org/","G","New BNDSS ID; did not have an ID in original BNDSS",7210,8600,19.3
"Wray",86310,"G",2412310,"G",63010,"G","Wray","G","CO0163010","G",NA,"x","Yuma",1,"South Platte",1,40.080198,-102.228401,NA,"http://www.wrayco.net/","G","",2227,2331,4.7
"Yuma",86750,"G",2412329,"G",63017,"G","Yuma","G","CO0163020","G",NA,"x","Yuma ",1,"South Platte",1,40.123474,-102.716136,NA,"http://www.yumacolo.org/","G","",3500,3587,2.5
